Date,Chip,Size,Chips Sold,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/10,Dill Pickle,2oz,509,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/06,Dill Pickle,6oz,241,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/06,Dill Pickle,6oz,308,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/06,Dill Pickle,6oz,218,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/06,Dill Pickle,6oz,187,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/06,Dill Pickle,6oz,238,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/06,Dill Pickle,6oz,202,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/06,Dill Pickle,6oz,259,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/06,Dill Pickle,6oz,175,,,,,,,,,,,,,,,,,,,,,,,,,
12/1/06,Dill Pickle,6oz,169,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/07,Dill Pickle,6oz,138,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/07,Dill Pickle,6oz,144,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/07,Dill Pickle,6oz,935,,,,,,,,,,,,,,,,,,,,,,,,,
4/1/07,Dill Pickle,6oz,154,,,,,,,,,,,,,,,,,,,,,,,,,
5/1/07,Dill Pickle,6oz,992,,,,,,,,,,,,,,,,,,,,,,,,,
6/1/07,Dill Pickle,6oz,228,,,,,,,,,,,,,,,,,,,,,,,,,
7/1/07,Dill Pickle,6oz,224,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/07,Dill Pickle,6oz,288,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/07,Dill Pickle,6oz,176,,,,,,,,,,,,,,,,,,,,,,,,,
10/1/07,Dill Pickle,6oz,204,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/07,Dill Pickle,6oz,268,,,,,,,,,,,,,,,,,,,,,,,,,
